"chemical","mobject"
"http://linked.opendata.cz/resource/domain/irz/latka/oxid-uhelnatý-co-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/oxid-uhelnatý-co-"
"http://linked.opendata.cz/resource/domain/irz/latka/oxid-uhličitý-co2-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/oxid-uhličitý-co2-"
"http://linked.opendata.cz/resource/domain/irz/latka/oxidy-dusíku-nox-no2-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/oxidy-dusíku-nox-no2-"
"http://linked.opendata.cz/resource/domain/irz/latka/oxidy-síry-sox-so2-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/oxidy-síry-sox-so2-"
"http://linked.opendata.cz/resource/domain/irz/latka/pcdd+pcdf-dioxiny+furany-jako-teq-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/pcdd+pcdf-dioxiny+furany-jako-teq-"
"http://linked.opendata.cz/resource/domain/irz/latka/polychlorované-bifenyly-pcb-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/polychlorované-bifenyly-pcb-"
"http://linked.opendata.cz/resource/domain/irz/latka/polycyklické-aromatické-uhlovodíky-pah-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/polycyklické-aromatické-uhlovodíky-pah-"
"http://linked.opendata.cz/resource/domain/irz/latka/polétavý-prach-pm10-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/polétavý-prach-pm10-"
"http://linked.opendata.cz/resource/domain/irz/latka/rtuť-a-sloučeniny-jako-hg-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/rtuť-a-sloučeniny-jako-hg-"
"http://linked.opendata.cz/resource/domain/irz/latka/styren","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/styren"
"http://linked.opendata.cz/resource/domain/irz/latka/tetrachlorethylen-per-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/tetrachlorethylen-per-"
"http://linked.opendata.cz/resource/domain/irz/latka/toluen","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/toluen"
"http://linked.opendata.cz/resource/domain/irz/latka/xyleny","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/xyleny"
